"","package","month","total"
"717","autovarCore",2017-02-01,253
"718","autovarCore",2017-03-01,247
"719","autovarCore",2017-04-01,495
"720","autovarCore",2017-05-01,308
"721","autovarCore",2017-06-01,225
"722","autovarCore",2017-07-01,299
"723","autovarCore",2017-08-01,256
"724","autovarCore",2017-09-01,297
"725","autovarCore",2017-10-01,291
"726","autovarCore",2017-11-01,272
"727","autovarCore",2017-12-01,170
"728","autovarCore",2018-01-01,657
"729","autovarCore",2018-02-01,337
"730","autovarCore",2018-03-01,294
"731","autovarCore",2018-04-01,396
"732","autovarCore",2018-05-01,354
"733","autovarCore",2018-06-01,1059
"734","autovarCore",2018-07-01,312
"735","autovarCore",2018-08-01,286
"736","autovarCore",2018-09-01,578
"737","autovarCore",2018-10-01,480
"738","autovarCore",2018-11-01,464
"739","autovarCore",2018-12-01,398
"740","autovarCore",2019-01-01,485
"741","autovarCore",2019-02-01,456
"742","autovarCore",2019-03-01,591
"743","autovarCore",2019-04-01,705
"744","autovarCore",2019-05-01,916
"745","autovarCore",2019-06-01,397
"746","autovarCore",2019-07-01,615
"747","autovarCore",2019-08-01,142
"748","BAYSTAR",2012-10-01,34
"749","BAYSTAR",2012-11-01,242
"750","BAYSTAR",2012-12-01,264
"751","BAYSTAR",2013-01-01,340
"752","BAYSTAR",2013-02-01,436
"753","BAYSTAR",2013-03-01,480
"754","BAYSTAR",2013-04-01,592
"755","BAYSTAR",2013-05-01,268
"756","BAYSTAR",2013-06-01,20
"757","BAYSTAR",2013-07-01,20
"758","BAYSTAR",2013-08-01,156
"759","BAYSTAR",2013-09-01,266
"760","BAYSTAR",2013-10-01,492
"761","BAYSTAR",2013-11-01,396
"762","BAYSTAR",2013-12-01,424
"763","BAYSTAR",2014-01-01,728
"764","BAYSTAR",2014-02-01,704
"765","BAYSTAR",2014-03-01,744
"766","BAYSTAR",2014-04-01,846
"767","BAYSTAR",2014-05-01,610
"768","BAYSTAR",2014-06-01,640
"769","BAYSTAR",2014-07-01,758
"770","BAYSTAR",2014-08-01,1122
"771","BAYSTAR",2014-09-01,886
"772","BAYSTAR",2014-10-01,942
"773","BAYSTAR",2014-11-01,1026
"774","BAYSTAR",2014-12-01,808
"775","BAYSTAR",2015-01-01,1192
"776","BAYSTAR",2015-02-01,920
"777","BAYSTAR",2015-03-01,1260
"778","BAYSTAR",2015-04-01,1408
"779","BAYSTAR",2015-05-01,1038
"780","BAYSTAR",2015-06-01,1044
"781","BAYSTAR",2015-07-01,860
"782","BAYSTAR",2015-08-01,994
"783","BAYSTAR",2015-09-01,1110
"784","BAYSTAR",2015-10-01,1074
"785","BAYSTAR",2015-11-01,1054
"786","BAYSTAR",2015-12-01,920
"787","BAYSTAR",2016-01-01,996
"788","BAYSTAR",2016-02-01,868
"789","BAYSTAR",2016-03-01,888
"790","BAYSTAR",2016-04-01,740
"791","BAYSTAR",2016-05-01,786
"792","BAYSTAR",2016-06-01,646
"793","BAYSTAR",2016-07-01,828
"794","BAYSTAR",2016-08-01,500
"795","BAYSTAR",2016-09-01,624
"796","BAYSTAR",2016-10-01,768
"797","BAYSTAR",2016-11-01,772
"798","BAYSTAR",2016-12-01,592
"799","BAYSTAR",2017-01-01,668
"800","BAYSTAR",2017-02-01,574
"801","BAYSTAR",2017-03-01,582
"802","BAYSTAR",2017-04-01,1128
"803","BAYSTAR",2017-05-01,794
"804","BAYSTAR",2017-06-01,548
"805","BAYSTAR",2017-07-01,842
"806","BAYSTAR",2017-08-01,612
"807","BAYSTAR",2017-09-01,678
"808","BAYSTAR",2017-10-01,672
"809","BAYSTAR",2017-11-01,598
"810","BAYSTAR",2017-12-01,414
"811","BAYSTAR",2018-01-01,584
"812","BAYSTAR",2018-02-01,406
